excec memoryUsed freeBlocks rounds avgsize
1.0 51440 61 672 843
1.0 51520 62 673 831
1.0 51504 62 674 831
0.0 51544 62 675 831
0.0 51464 62 676 830
1.0 51504 62 677 831
1.0 51496 62 678 831
1.0 51528 62 679 831
0.0 51584 62 680 832
1.0 51696 62 681 834
1.0 51656 62 682 833
1.0 51656 62 683 833
0.0 51640 62 684 833
1.0 51744 62 685 835
1.0 51824 62 686 836
1.0 51824 61 687 850
1.0 51800 61 688 849
1.0 51792 61 689 849
0.0 51792 61 690 849
1.0 51712 62 691 834
1.0 51712 63 692 821
1.0 51768 64 693 809
1.0 51768 64 694 809
1.0 51776 64 695 809
1.0 51640 64 696 807
0.0 51640 64 697 807
1.0 51680 65 698 795
1.0 51656 65 699 795
1.0 51552 64 700 806
1.0 51648 63 701 820
1.0 51664 63 702 820
1.0 51600 64 703 806
0.0 51592 64 704 806
1.0 51632 63 705 820
1.0 51616 63 706 819
1.0 51600 63 707 819
1.0 51544 63 708 818
1.0 51544 63 709 818
1.0 51616 63 710 819
1.0 51592 63 711 819
0.0 51608 63 712 819
1.0 51568 62 713 832
1.0 51536 62 714 831
1.0 51584 61 715 846
1.0 51584 61 716 846
1.0 51552 62 717 831
0.0 51552 62 718 831
0.0 51552 61 719 845
0.0 51664 62 720 833
1.0 51576 63 721 819
1.0 51456 63 722 817
1.0 51400 63 723 816
1.0 51280 63 724 814
0.0 51296 63 725 814
1.0 51328 62 726 828
1.0 51352 62 727 828
1.0 51344 63 728 815
1.0 51280 63 729 814
1.0 51280 63 730 814
0.0 51272 62 731 827
0.0 51248 62 732 827
1.0 51360 63 733 815
1.0 51352 62 734 828
1.0 51352 62 735 828
1.0 51344 62 736 828
1.0 51344 62 737 828
0.0 51248 62 738 827
1.0 51256 62 739 827
1.0 51384 62 740 829
1.0 51408 61 741 843
1.0 51424 61 742 843
1.0 51344 62 743 828
0.0 51272 62 744 827
1.0 51296 61 745 841
1.0 51256 61 746 840
1.0 51248 60 747 854
1.0 51216 59 748 868
1.0 51280 59 749 869
1.0 51240 58 750 883
0.0 51232 59 751 868
1.0 51200 59 752 868
1.0 51208 59 753 868
1.0 51240 59 754 868
1.0 51176 58 755 882
0.0 51192 58 756 883
0.0 51192 59 757 868
1.0 51088 59 758 866
1.0 51112 59 759 866
1.0 51136 59 760 867
0.0 51024 59 761 865
1.0 51024 59 762 865
1.0 51016 59 763 865
1.0 51088 59 764 866
1.0 51104 59 765 866
1.0 50992 58 766 879
1.0 50992 59 767 864
1.0 50992 58 768 879
1.0 50984 58 769 879
2.0 51024 59 770 865
1.0 51040 59 771 865
1.0 51136 60 772 852
2.0 51128 60 773 852
1.0 51176 60 774 853
1.0 51184 59 775 868
1.0 51248 60 776 854
0.0 51184 60 777 853
0.0 51192 60 778 853
1.0 51144 59 779 867
1.0 51144 59 780 867
1.0 51152 58 781 882
1.0 51184 58 782 882
1.0 51136 57 783 897
0.0 51192 57 784 898
1.0 51200 57 785 898
1.0 51264 58 786 884
1.0 51264 58 787 884
1.0 51216 58 788 883
1.0 51192 58 789 883
1.0 51160 58 790 882
1.0 51048 58 791 880
1.0 51064 58 792 880
1.0 51064 58 793 880
1.0 51088 58 794 881
1.0 51080 59 795 866
1.0 51080 60 796 851
1.0 51056 60 797 851
1.0 51056 60 798 851
0.0 51024 60 799 850
1.0 51032 60 800 851
1.0 50920 60 801 849
1.0 50832 59 802 862
1.0 50904 59 803 863
1.0 50856 59 804 862
0.0 50832 59 805 862
