excec memoryUsed freeBlocks rounds avgsize
3.0 51424 423 696 122
1.0 51424 424 697 121
1.0 51464 425 698 121
1.0 51440 426 699 121
1.0 51352 427 700 120
1.0 51448 428 701 120
1.0 51448 428 702 120
1.0 51384 429 703 120
0.0 51376 430 704 119
1.0 51416 431 705 119
1.0 51416 431 706 119
1.0 51408 432 707 119
1.0 51368 433 708 119
1.0 51368 434 709 118
0.0 51440 435 710 118
1.0 51416 436 711 118
1.0 51416 436 712 118
1.0 51400 437 713 118
1.0 51368 438 714 117
0.0 51424 439 715 117
0.0 51464 440 716 117
0.0 51432 441 717 117
1.0 51432 442 718 116
1.0 51432 443 719 116
1.0 51544 444 720 116
1.0 51472 445 721 116
0.0 51376 446 722 115
1.0 51320 447 723 115
1.0 51200 447 724 115
1.0 51200 447 725 115
1.0 51248 448 726 114
1.0 51248 448 727 114
1.0 51240 449 728 114
1.0 51200 450 729 114
0.0 51200 450 730 114
1.0 51192 451 731 114
0.0 51192 452 732 113
1.0 51288 453 733 113
1.0 51256 453 734 113
1.0 51256 453 735 113
1.0 51248 454 736 113
1.0 51248 454 737 113
2.0 51128 455 738 112
1.0 51128 455 739 112
1.0 51256 456 740 112
1.0 51256 456 741 112
1.0 51256 456 742 112
1.0 51176 457 743 112
1.0 51104 458 744 112
1.0 51104 458 745 112
1.0 51064 459 746 111
1.0 51056 460 747 111
1.0 51040 461 748 111
1.0 51104 462 749 111
1.0 51064 463 750 110
1.0 51064 463 751 110
1.0 51032 464 752 110
1.0 51032 464 753 110
1.0 51080 465 754 110
1.0 51040 466 755 110
1.0 51040 466 756 110
1.0 51040 467 757 109
3.0 50944 468 758 109
0.0 50944 468 759 109
1.0 50944 468 760 109
1.0 50832 469 761 108
1.0 50832 469 762 108
1.0 50824 470 763 108
1.0 50896 471 764 108
1.0 50896 471 765 108
1.0 50800 472 766 108
1.0 50800 473 767 107
1.0 50800 474 768 107
1.0 50792 475 769 107
1.0 50792 475 770 107
0.0 50792 475 771 107
0.0 50888 476 772 107
1.0 50880 477 773 107
1.0 50928 478 774 107
0.0 50928 478 775 107
1.0 50992 479 776 106
1.0 50928 479 777 106
1.0 50928 479 778 106
1.0 50896 480 779 106
1.0 50896 480 780 106
1.0 50896 480 781 106
1.0 50896 480 782 106
1.0 50848 481 783 106
1.0 50904 482 784 106
1.0 50904 482 785 106
0.0 50944 483 786 105
1.0 50944 483 787 105
1.0 50896 484 788 105
1.0 50872 485 789 105
1.0 50856 486 790 105
1.0 50768 487 791 104
1.0 50768 487 792 104
1.0 50768 487 793 104
1.0 50800 488 794 104
0.0 50768 489 795 104
1.0 50768 489 796 104
1.0 50768 490 797 104
0.0 50768 490 798 104
