excec memoryUsed freeBlocks rounds avgsize
5.0 54808 65 847 843
5.0 54776 65 848 843
5.0 54816 65 849 843
4.0 54744 65 850 842
5.0 54824 65 851 843
4.0 54760 64 852 856
5.0 54864 65 853 844
4.0 54856 65 854 844
5.0 54856 64 855 857
4.0 54856 64 856 857
5.0 54840 65 857 844
4.0 54800 65 858 843
4.0 54784 65 859 843
4.0 54792 65 860 843
5.0 54720 65 861 842
5.0 54744 65 862 842
5.0 54704 66 863 829
6.0 54720 66 864 829
6.0 54720 66 865 829
6.0 54712 67 866 817
5.0 54720 67 867 817
7.0 54704 70 874 781
8.0 54680 71 876 770
8.0 54680 70 877 781
7.0 54704 71 882 770
8.0 54648 71 884 770
4.0 54496 71 886 768
4.0 54600 71 887 769
4.0 54640 71 888 770
4.0 54624 71 889 769
5.0 54528 72 890 757
5.0 54408 72 891 756
5.0 54432 72 892 756
5.0 54472 72 893 757
4.0 54464 72 894 756
5.0 54512 72 895 757
5.0 54392 72 896 755
4.0 54408 72 897 756
6.0 54336 72 898 755
5.0 54368 71 899 766
4.0 54312 70 900 776
4.0 54344 70 901 776
5.0 54360 70 902 777
5.0 54392 70 903 777
5.0 54344 70 904 776
4.0 54336 70 905 776
4.0 54248 70 906 775
4.0 54168 70 907 774
4.0 54184 70 908 774
5.0 54152 70 909 774
4.0 54176 70 910 774
5.0 54168 71 911 763
4.0 54272 71 912 764
5.0 54248 70 913 775
5.0 54240 70 914 775
4.0 54240 70 915 775
4.0 54320 70 916 776
4.0 54248 70 917 775
4.0 54176 69 918 785
4.0 54056 69 919 783
4.0 54056 69 920 783
5.0 53944 69 921 782
5.0 53936 69 922 782
5.0 53792 68 924 791
4.0 53792 68 925 791
5.0 53856 69 926 781
4.0 53832 68 927 792
4.0 53856 67 928 804
5.0 53768 67 929 803
5.0 53760 67 930 802
4.0 53808 66 931 815
4.0 53808 66 932 815
3.0 53784 66 933 815
4.0 53776 67 934 803
5.0 53872 67 935 804
5.0 53880 67 936 804
5.0 53856 68 937 792
4.0 53904 68 938 793
5.0 53848 67 939 804
4.0 53872 67 940 804
5.0 53840 68 941 792
4.0 53800 68 942 791
4.0 53816 68 943 791
4.0 53816 68 944 791
4.0 53808 68 945 791
5.0 53872 69 946 781
5.0 53896 69 947 781
4.0 53896 68 948 793
5.0 53888 68 949 792
6.0 53832 68 950 792
5.0 53784 68 951 791
5.0 53696 68 952 790
4.0 53784 68 953 791
4.0 53776 69 954 779
4.0 53760 69 955 779
5.0 53744 69 956 779
4.0 53768 69 957 779
7.0 53680 69 958 778
4.0 53760 68 959 791
4.0 53736 69 960 779
4.0 53624 67 961 800
5.0 53616 67 962 800
4.0 53584 68 963 788
5.0 53592 68 964 788
4.0 53560 68 965 788
4.0 53624 67 966 800
4.0 53624 67 967 800
5.0 53552 68 968 788
4.0 53552 69 969 776
4.0 53560 69 970 776
4.0 53648 69 971 778
5.0 53696 68 972 790
4.0 53712 68 973 790
5.0 53800 69 974 780
4.0 53864 68 975 792
5.0 53864 68 976 792
5.0 53904 68 977 793
5.0 53936 68 978 793
5.0 53928 68 979 793
4.0 54024 69 980 783
4.0 54008 69 981 783
5.0 54024 69 982 783
6.0 54056 68 983 795
4.0 54024 69 984 783
4.0 54040 68 985 795
4.0 54104 68 986 796
4.0 54128 69 987 784
4.0 54128 69 988 784
5.0 54112 69 989 784
5.0 54184 69 990 785
5.0 54224 69 991 786
4.0 54232 69 992 786
4.0 54368 70 993 777
5.0 54360 69 994 788
4.0 54296 69 995 787
